product_id,name,category,price,stock_quantity
1,Elderberry Syrup,Food - Supplements,49,37
2,Crafting Kit,Art Supplies,40,94
3,Golf Polo Shirt,Clothing - Tops,38,67
4,Travel Yoga Mat,Fitness,51,89
5,Classic Cheeseburger Mix,Food - Meats,3,47
6,Waterproof Rain Boots,Clothing - Footwear,18,67
7,Tomato Sauce,Food - Canned Goods,18,66
8,Rechargeable Electric Screwdriver,Tools,87,4
9,Aeropress Coffee Maker,Kitchen,76,18
10,Dark Chocolate Raisins,Food - Snacks,43,88
11,Roasted Vegetable Medley,Food - Frozen Foods,20,70
12,Bamboo Cutting Board Set,Kitchen,47,39
13,Watering Can with Nozzle,Garden,16,71
14,Beef Chili,Food - Canned Goods,63,37
15,Almond Butter,Food - Condiments,41,15
16,Lentil Vegetable Curry,Food - Prepared Meals,17,90
17,Voice-Controlled Speaker,Audio,23,97
18,Foldable Picnic Table,Outdoor,41,99
19,Portable Charcoal Grill,Outdoor,36,57
20,Savory Quinoa Pudding,Food - Sides,52,60
21,Interchangeable Watch Bands,Accessories,6,4
22,Crispy Chickpeas,Food - Snacks,54,24
23,Compact Refrigerator,Home Appliances,7,85
24,Vegetable Lasagna,Food - Frozen Foods,37,22
25,Portable Air Conditioner,Home Appliances,47,6
26,Phone Case,Accessories,16,68
27,Canned Sardines,Food - Seafood,60,21
28,BBQ Jackfruit,Food - Prepared Foods,29,79
29,Electric Griddle with Removable Plates,Kitchen,68,52
30,Pumpkin Spice Pancake Mix,Food - Breakfast,81,29
31,Chocolate Mint Thins,Food - Snacks,75,57
32,Classic Caesar Salad Kit,Food - Salads,38,77
33,Rechargeable Battery Organizer,Home,22,97
34,Frozen Chicken Nuggets,Food - Frozen Foods,65,83
35,Self-Adhesive Wallpaper,Home,14,13
36,Rechargeable Hand Warmer,Accessories,55,19
37,Black Bean Soup,Food - Soups,45,15
38,Mediterranean Flatbread,Food - Bakery,56,96
39,Tomato Basil Pasta Sauce,Food - Sauces,76,44
40,Coconut Cream Pie Mix,Food - Baking,31,46
41,Portable Air Compressor,Automotive,85,97
42,Foot Spa Bath Massager,Health,26,2
43,Sweet and Sour Sauce,Food - Condiments,78,84
44,Belted Trench Coat,Clothing - Outerwear,73,2
45,Acoustic Guitar,Music,31,19
46,Matcha Green Tea Powder,Food - Beverages,58,20
47,Electric Screwdriver,Tools,10,19
48,Eco-Friendly Beeswax Wraps,Kitchen,79,84
49,Crispy Tofu Bites,Food - Protein,51,91
50,Spinach and Cheese Stuffed Shells,Food - Frozen Meals,13,52
51,Spaghetti Squash,Food - Produce,63,19
52,Sesame Seeds,Food - Baking,30,51
53,Interchangeable Watch Bands,Accessories,84,96
54,Mushrooms,Food - Produce,11,11
55,Homestyle Chicken Noodle Soup,Food - Canned Goods,12,74
56,Interactive Plush Toy,Toys,79,14
57,Couscous,Food - Grains,65,47
58,Feta Cheese,Food - Dairy,41,62
59,Watering Can with Nozzle,Garden,13,59
60,Whole Wheat Pasta,Food - Grains,97,45
61,Essential Oil Diffuser,Health,11,70
62,Spicy BBQ Sauce,Food - Condiments,52,17
63,Electric Can Opener,Kitchen,18,37
64,Vanilla Ice Cream,Food - Frozen Foods,91,66
65,Coffee Grinder,Kitchen,40,26
66,Set of Silicone Cooking Utensils,Kitchen,31,93
67,Personalized Keychain,Accessories,6,8
68,Coconut Cream Pie,Food - Bakery,16,64
